Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter,MeanLinearSpeed
315,0,0.082227,0.675362,0.693546
316,0,0.090516,0.690142,0.619845
317,0,0.083862,0.622663,0.644310
318,0,0.091386,0.723910,0.823859
319,0,0.086254,0.658108,0.716437
320,0,0.096755,0.807757,0.826977
321,0,0.096528,0.821535,0.886082
322,0,0.092110,0.769338,0.864989
323,0,0.075409,0.555162,0.799632
324,0,0.082926,0.643292,0.668218
325,0,0.094022,0.789202,0.900059
326,0,0.091709,0.710539,0.599481
327,0,0.099931,0.854045,0.996656
328,0,0.094526,0.811741,0.774972
329,0,0.090043,0.724568,0.877132
330,0,0.089818,0.755452,0.745330
331,0,0.090512,0.772752,1.000713
332,0,0.091832,0.790299,0.812480
333,0,0.092411,0.757887,1.008634
334,0,0.083695,0.668143,0.734092
335,0,0.083623,0.689462,0.694933
336,0,0.088555,0.694000,0.672997
337,0,0.090856,0.651654,1.080445
338,0,0.091636,0.754344,0.746426
339,0,0.090644,0.729884,0.706513
340,0,0.086903,0.693861,0.703328
341,0,0.085521,0.656512,0.668284
342,0,0.080875,0.633924,0.593235
343,0,0.085089,0.667666,0.736510
344,0,0.096645,0.815396,1.011440
345,0,0.085202,0.697311,0.622125
346,0,0.085466,0.707231,0.685194
347,0,0.092944,0.734392,0.879137
348,0,0.099230,0.801231,0.805895
349,0,0.083749,0.655726,0.694394
350,0,0.082732,0.633083,0.667148
351,0,0.088363,0.718067,0.792627
352,0,0.082827,0.654394,0.626903
353,0,0.082571,0.675727,0.659466
354,0,0.085876,0.697596,0.769226
355,0,0.086433,0.691407,0.669899
356,0,0.086815,0.742704,0.763390
357,0,0.087704,0.718548,0.813489
358,0,0.090782,0.771806,1.086963
359,0,0.088452,0.735761,0.785222
360,0,0.088944,0.685403,0.704655
361,0,0.096741,0.811952,1.001059
362,0,0.085733,0.713330,0.847483
363,0,0.087151,0.699903,0.669258
364,0,0.085872,0.693954,0.674377
365,0,0.093704,0.763883,0.836160
366,0,0.095984,0.821799,0.824540
367,0,0.088456,0.722014,0.705151
368,0,0.081713,0.652556,0.724724
369,0,0.087282,0.699454,0.787337
370,0,0.089650,0.712666,0.698497
371,0,0.080399,0.642240,0.669572
372,0,0.088367,0.716496,0.805060
373,0,0.086939,0.708599,0.720649
374,0,0.091798,0.761504,0.843311
375,0,0.095800,0.767077,0.792958
376,0,0.087321,0.733682,0.811860
377,0,0.082203,0.651277,0.548653
378,0,0.085592,0.704526,0.630442
379,0,0.090924,0.743413,0.784291
380,0,0.090007,0.742797,0.803464
381,0,0.095572,0.768554,1.054315
382,0,0.087971,0.717717,0.751669
383,0,0.081909,0.638600,0.659245
384,0,0.090706,0.710880,0.810168
385,0,0.087424,0.765723,0.878845
386,0,0.089935,0.756185,0.894856
387,0,0.088758,0.716081,0.796744
388,0,0.087054,0.717958,0.646297
389,0,0.088581,0.734667,0.871079
390,0,0.083695,0.643446,0.655678
391,0,0.084459,0.685414,0.845946
392,0,0.089219,0.704211,0.798301
393,0,0.092126,0.732251,0.742873
394,0,0.084604,0.684304,0.700577
395,0,0.087147,0.678055,0.835052
396,0,0.086915,0.657677,0.685098
397,0,0.089762,0.714091,0.968804
398,0,0.089101,0.710461,0.798555
399,0,0.082911,0.682997,0.736077
400,0,0.096395,0.749915,0.930780
401,0,0.092161,0.764114,0.844386
402,0,0.075604,0.600051,0.948042
403,0,0.085095,0.689381,0.583613
404,0,0.095114,0.783514,0.906645
405,0,0.085920,0.666577,0.666504
406,0,0.092971,0.739476,0.926650
407,0,0.084678,0.666824,0.802044
408,0,0.088303,0.742950,0.971028
409,0,0.094458,0.750269,0.637611
410,0,0.086462,0.705217,0.695892
411,0,0.093714,0.777595,0.892545
412,0,0.090021,0.745767,1.020124
413,0,0.082024,0.691315,0.754585
414,0,0.085107,0.661060,0.612793
415,0,0.080805,0.632720,0.746953
416,0,0.089282,0.656699,0.631492
417,0,0.083633,0.655371,0.690599
418,0,0.091090,0.731754,0.859095
419,0,0.084796,0.689108,0.786007
420,0,0.083526,0.651347,0.646347
421,0,0.085821,0.723048,0.801882
