Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter
340,0,0.5174869,6.390357
341,0,0,12.06417
342,0,0.6031189,6.148726
343,0,0.697092,6.757512
344,0,0.7293249,7.749472
345,0,0.6660756,6.758611
346,0,0.6542504,7.527727
347,0,0.8468645,8.598598
348,0,0.8614591,7.396194
349,0,0.6219848,7.245599
350,0,0.5642878,6.913515
351,0,0.643927,7.501075
352,0,0.6098966,6.899509
353,0,0.6391819,6.352954
354,0,0.6197349,5.726078
355,0,0.6852511,7.028859
356,0,0.8075355,8.505773
357,0,0.7058387,6.939957
358,0,0.7499682,7.474891
359,0,0.6165957,6.952564
360,0,0.7529607,7.965984
361,0,0.7654256,8.400132
362,0,0.6432228,6.094958
363,0,0.6983479,7.198967
364,0,0.6727192,6.472811
365,0,0.6086695,5.929811
366,0,0.7808923,6.68041
367,0,0.5772033,6.627362
368,0,0.5980369,5.603837
369,0,0.555485,6.182834
370,0,0.754733,7.765357
371,0,0.7995272,8.19179
372,0,0.8873472,9.325048
373,0,0.7295494,7.585274
374,0,0.7029996,7.439724
375,0,0.6683413,6.519921
376,0,0.7534445,7.467947
377,0,0.6661882,6.826018
378,0,0.7190462,8.188265
379,0,0.9266274,7.568065
380,0,0.7118608,7.448039
381,0,0.6396856,6.58659
382,0,0.6481205,6.709381
383,0,0.6751021,7.026978
384,0,0.7853942,7.431537
385,0,0.6839793,7.309595
386,0,0.6887391,7.914041
387,0,0.6624236,6.957391
388,0,0.6354856,6.313666
389,0,0.7225252,7.925336
390,0,0.7104872,7.234093
391,0,0.6730021,7.73988
392,0,0.6744035,6.834506
393,0,0,17.93112
394,0,0.7286871,7.18942
395,0,0.8517823,7.671504
396,0,0.6738647,7.030381
397,0,0.7620188,7.745812
398,0,0.5610892,7.310387
399,0,0.7290435,6.64475
400,0,0.7693986,7.999519
401,0,0.5677286,6.277723
402,0,0.7081404,7.406434
403,0,0.7277353,7.430368
404,0,0.6345379,6.683948
405,0,0,11.27645
406,0,0.8193597,7.906722
407,0,0.7622177,7.284067
408,0,0.6690667,6.956995
409,0,0.6284459,6.503818
410,0,0,11.33566
411,0,0,0
412,0,0.6135259,6.923526
413,0,0.7287123,7.346364
414,0,0.691473,7.682631
415,0,0.7640657,7.355398
416,0,0.7926533,8.723341
417,0,0.8771383,8.415996
418,0,0,22.4606
419,0,0.6876634,6.160295
420,0,0.7562896,7.031127
421,0,0.5873826,7.875709
422,0,0.6934973,6.808764
423,0,0.7505284,7.548818
424,0,0.8634615,9.137959
425,0,0.6824508,7.35838
426,0,0.6101053,7.427716
427,0,0.6697256,7.130487
428,0,0.7014735,6.81538
429,0,0.6436669,6.835899
430,0,0.6158978,6.99399
431,0,0.6325552,6.518852
432,0,0.8423728,8.67266
433,0,0.769292,7.392025
434,0,0.6654256,7.097333
435,0,0.7887741,8.356682
436,0,0.7079672,7.834806
437,0,0.6004381,7.293963
438,0,0.8036115,8.258298
439,0,0,32.46144
440,0,0.7531196,7.64493
441,0,0.6902804,7.786725
442,0,0.6145344,7.889857
443,0,0.7264445,6.497951
444,0,0.6645868,7.448752
445,0,0.8816136,8.460624
446,0,0.6922541,7.030582
447,0,0.7194364,6.890207
448,0,0.7380076,7.797997
449,0,0.702954,7.755267
450,0,0.7350488,7.257805
451,0,0.6710817,6.553813
452,0,0.6787413,7.272964
453,0,0.7360505,7.858542
454,0,0.811464,7.754461
455,0,0.6847826,7.399203
456,0,0.5817292,6.89465
457,0,0.7012593,7.495363
458,0,0.6065066,6.992014
459,0,0.682361,7.279502
460,0,0.8921008,9.246374
461,0,0,18.25189
462,0,0.6041114,6.007226
463,0,0.6853851,7.781039
464,0,0.6540926,7.37174
465,0,0.6921137,7.165461
466,0,0.823095,9.294489
467,0,0.8265808,8.018992
468,0,0.7007443,6.948914
469,0,0.8372128,8.733708
470,0,0.6185619,6.32621
471,0,0.6488825,6.571785
472,0,0.6786141,7.391934
473,0,0.7050096,7.191207
474,0,0.6919364,7.017596
475,0,0.6274967,7.250988
476,0,0.5315452,6.648542
477,0,0.6452501,6.949697
478,0,0.6735633,7.188251
479,0,0.6598648,7.086418
480,0,0.680558,6.961394
481,0,0.7325985,7.637127
482,0,0.7283251,7.51829
483,0,0.4481007,5.78581
484,0,0.6595647,7.389332
485,0,0.6454418,7.382924
486,0,0.7386591,7.600248
487,0,0.7304928,8.025003
488,0,0.6112844,6.102469
489,0,0.5685558,6.303984
490,0,0,24.10351
491,0,0,0
492,0,0.5084075,6.639498
493,0,0.5746883,5.916273
494,0,0.7250178,6.71382
495,0,0.685511,6.798053
496,0,0.7475415,7.477925
497,0,0.5889012,6.470337
498,0,0.6720156,6.94684
499,0,0.6599141,6.565979
500,0,0.6697802,7.331647
501,0,0.7226433,7.091609
502,0,0.7626709,7.767856
503,0,0.61265,6.222116
504,0,0.6768677,6.990891
505,0,0.6778021,6.976654
506,0,0.6958076,6.914035
507,0,0.7463617,7.243823
508,0,0.6591756,7.259702
509,0,0.8166456,7.980869
510,0,0.6526468,7.534716
511,0,0.7813896,7.990901
