Episode,Steps,Success,CumulativeSuccessRate
745,614,1,97.72
746,5000,0,97.59
747,282,1,97.59
748,726,1,97.59
749,69,1,97.60
750,998,1,97.60
751,467,1,97.60
752,1273,1,97.61
753,117,1,97.61
754,29,1,97.61
755,392,1,97.62
756,84,1,97.62
757,573,1,97.62
758,509,1,97.63
759,2242,1,97.63
760,5000,0,97.50
761,1025,1,97.50
762,35,1,97.51
763,60,1,97.51
764,229,1,97.51
765,45,1,97.52
766,55,1,97.52
767,3397,1,97.52
768,59,1,97.53
769,59,1,97.53
770,2428,1,97.53
771,3647,1,97.54
772,379,1,97.54
773,199,1,97.54
774,745,1,97.55
775,6,1,97.55
776,463,1,97.55
777,4902,1,97.55
778,589,1,97.56
779,16,1,97.56
780,78,1,97.56
781,73,1,97.57
782,511,1,97.57
783,241,1,97.57
784,5000,0,97.45
785,57,1,97.45
786,88,1,97.46
787,998,1,97.46
788,4,1,97.46
789,71,1,97.47
790,239,1,97.47
791,479,1,97.47
792,235,1,97.47
793,32,1,97.48
794,3293,1,97.48
795,83,1,97.48
796,40,1,97.49
797,685,1,97.49
798,1537,1,97.49
799,118,1,97.50
800,59,1,97.50
801,1045,1,97.50
802,33,1,97.51
803,773,1,97.51
804,5000,0,97.39
805,483,1,97.39
806,57,1,97.39
807,930,1,97.40
808,1344,1,97.40
809,61,1,97.40
810,33,1,97.41
811,538,1,97.41
812,100,1,97.41
813,47,1,97.42
814,159,1,97.42
815,77,1,97.42
816,272,1,97.43
817,85,1,97.43
818,40,1,97.43
819,24,1,97.44
820,299,1,97.44
821,1316,1,97.44
822,107,1,97.45
823,50,1,97.45
824,229,1,97.45
825,3513,1,97.45
826,793,1,97.46
827,25,1,97.46
828,2447,1,97.46
829,159,1,97.47
830,827,1,97.47
831,73,1,97.47
832,496,1,97.48
833,55,1,97.48
834,1154,1,97.48
835,968,1,97.49
836,17,1,97.49
837,46,1,97.49
838,838,1,97.49
839,96,1,97.50
840,32,1,97.50
841,180,1,97.50
842,2313,1,97.51
843,1452,1,97.51
844,32,1,97.51
845,182,1,97.51
846,236,1,97.52
847,864,1,97.52
848,67,1,97.52
849,600,1,97.53
850,217,1,97.53
851,261,1,97.53
852,5000,0,97.42
853,59,1,97.42
854,14,1,97.42
855,2036,1,97.43
856,163,1,97.43
857,46,1,97.43
858,165,1,97.44
859,2127,1,97.44
860,158,1,97.44
861,57,1,97.44
862,1508,1,97.45
863,415,1,97.45
864,684,1,97.45
865,295,1,97.46
866,156,1,97.46
867,1212,1,97.46
868,1076,1,97.47
869,3015,1,97.47
870,949,1,97.47
871,9,1,97.47
872,37,1,97.48
873,369,1,97.48
874,489,1,97.48
875,21,1,97.49
876,519,1,97.49
877,175,1,97.49
878,435,1,97.49
879,2325,1,97.50
880,36,1,97.50
881,64,1,97.50
882,139,1,97.51
883,397,1,97.51
884,27,1,97.51
885,523,1,97.51
886,2060,1,97.52
887,727,1,97.52
888,30,1,97.52
889,1191,1,97.53
890,5000,0,97.42
891,1211,1,97.42
892,45,1,97.42
893,365,1,97.42
894,172,1,97.43
895,239,1,97.43
896,1553,1,97.43
897,408,1,97.44
898,29,1,97.44
899,183,1,97.44
900,806,1,97.44
901,438,1,97.45
902,501,1,97.45
903,5000,0,97.34
904,290,1,97.35
905,52,1,97.35
906,4,1,97.35
907,3639,1,97.35
908,325,1,97.36
909,361,1,97.36
910,30,1,97.36
911,1728,1,97.37
912,248,1,97.37
913,186,1,97.37
914,656,1,97.37
915,20,1,97.38
916,924,1,97.38
917,333,1,97.38
918,317,1,97.39
919,3,1,97.39
920,1166,1,97.39
921,117,1,97.39
922,56,1,97.40
923,11,1,97.40
924,1157,1,97.40
925,73,1,97.41
926,317,1,97.41
927,714,1,97.41
928,47,1,97.41
929,298,1,97.42
930,2162,1,97.42
931,569,1,97.42
932,37,1,97.42
933,1531,1,97.43
934,81,1,97.43
935,943,1,97.43
936,714,1,97.44
937,26,1,97.44
938,2889,1,97.44
939,75,1,97.44
940,192,1,97.45
941,495,1,97.45
942,709,1,97.45
943,208,1,97.45
944,1076,1,97.46
945,641,1,97.46
946,532,1,97.46
947,5000,0,97.36
948,196,1,97.36
949,1225,1,97.37
950,16,1,97.37
951,4000,1,97.37
952,751,1,97.37
953,399,1,97.38
954,418,1,97.38
955,900,1,97.38
956,366,1,97.38
957,63,1,97.39
958,41,1,97.39
959,790,1,97.39
960,193,1,97.40
961,257,1,97.40
962,178,1,97.40
963,34,1,97.40
964,927,1,97.41
965,277,1,97.41
966,40,1,97.41
967,13,1,97.41
968,1154,1,97.42
969,167,1,97.42
970,154,1,97.42
971,805,1,97.43
972,78,1,97.43
973,936,1,97.43
974,237,1,97.43
975,35,1,97.44
976,743,1,97.44
977,403,1,97.44
978,4261,1,97.44
979,1201,1,97.45
980,828,1,97.45
981,506,1,97.45
982,1932,1,97.45
983,339,1,97.46
984,97,1,97.46
985,534,1,97.46
986,372,1,97.46
987,77,1,97.47
988,1287,1,97.47
989,15,1,97.47
990,70,1,97.47
991,92,1,97.48
992,5000,0,97.38
993,12,1,97.38
994,64,1,97.38
995,5000,0,97.29
996,361,1,97.29
997,525,1,97.29
998,566,1,97.29
999,1310,1,97.30
1000,773,1,97.30
1001,306,1,97.30
1002,10,1,97.31
1003,247,1,97.31
1004,2360,1,97.31
1005,4597,1,97.31
1006,128,1,97.32
1007,1619,1,97.32
1008,744,1,97.32
1009,2549,1,97.32
1010,29,1,97.33
1011,73,1,97.33
1012,283,1,97.33
1013,125,1,97.33
1014,46,1,97.34
1015,31,1,97.34
1016,1241,1,97.34
1017,486,1,97.35
1018,673,1,97.35
1019,22,1,97.35
1020,386,1,97.35
1021,288,1,97.36
1022,1848,1,97.36
1023,944,1,97.36
1024,284,1,97.36
1025,1016,1,97.37
1026,3261,1,97.37
1027,531,1,97.37
1028,715,1,97.37
1029,5000,0,97.28
1030,707,1,97.28
1031,1081,1,97.28
1032,41,1,97.29
1033,73,1,97.29
1034,1104,1,97.29
1035,98,1,97.29
1036,3956,1,97.30
1037,4,1,97.30
1038,63,1,97.30
1039,902,1,97.31
1040,202,1,97.31
1041,18,1,97.31
1042,723,1,97.31
1043,2287,1,97.32
1044,152,1,97.32
1045,25,1,97.32
1046,45,1,97.32
1047,117,1,97.33
1048,1213,1,97.33
1049,448,1,97.33
1050,294,1,97.33
1051,72,1,97.34
1052,260,1,97.34
1053,950,1,97.34
1054,22,1,97.34
1055,327,1,97.35
1056,191,1,97.35
1057,962,1,97.35
1058,27,1,97.35
1059,67,1,97.36
1060,795,1,97.36
1061,112,1,97.36
1062,313,1,97.36
1063,47,1,97.37
1064,446,1,97.37
1065,703,1,97.37
1066,259,1,97.37
1067,5000,0,97.28
1068,15,1,97.28
1069,944,1,97.29
1070,813,1,97.29
1071,916,1,97.29
1072,21,1,97.29
1073,218,1,97.30
1074,5000,0,97.21
1075,335,1,97.21
1076,64,1,97.21
1077,3722,1,97.21
1078,1407,1,97.22
1079,337,1,97.22
1080,5000,0,97.13
1081,16,1,97.13
1082,219,1,97.13
1083,2258,1,97.14
1084,5000,0,97.05
1085,1638,1,97.05
1086,1049,1,97.05
1087,617,1,97.06
1088,646,1,97.06
1089,18,1,97.06
1090,853,1,97.06
1091,3018,1,97.07
1092,388,1,97.07
1093,453,1,97.07
1094,177,1,97.07
1095,270,1,97.08
1096,564,1,97.08
1097,1205,1,97.08
1098,24,1,97.09
1099,364,1,97.09
1100,215,1,97.09
1101,1488,1,97.09
1102,38,1,97.10
1103,112,1,97.10
1104,411,1,97.10
1105,5000,0,97.01
1106,25,1,97.02
1107,57,1,97.02
1108,38,1,97.02
1109,253,1,97.02
1110,48,1,97.03
1111,78,1,97.03
1112,38,1,97.03
1113,1156,1,97.04
1114,480,1,97.04
1115,1763,1,97.04
1116,22,1,97.04
1117,435,1,97.05
1118,2765,1,97.05
1119,600,1,97.05
1120,7,1,97.05
1121,2837,1,97.06
1122,211,1,97.06
1123,92,1,97.06
1124,54,1,97.06
1125,81,1,97.07
1126,73,1,97.07
1127,134,1,97.07
1128,3361,1,97.07
1129,17,1,97.08
1130,1055,1,97.08
1131,414,1,97.08
1132,1013,1,97.08
1133,8,1,97.09
1134,846,1,97.09
1135,116,1,97.09
1136,398,1,97.10
1137,23,1,97.10
1138,318,1,97.10
1139,418,1,97.10
1140,234,1,97.11
1141,43,1,97.11
1142,157,1,97.11
1143,314,1,97.11
1144,169,1,97.12
1145,645,1,97.12
1146,1128,1,97.12
1147,34,1,97.12
1148,96,1,97.13
1149,4429,1,97.13
1150,367,1,97.13
1151,13,1,97.13
1152,310,1,97.14
1153,286,1,97.14
1154,3578,1,97.14
1155,29,1,97.14
1156,60,1,97.15
1157,229,1,97.15
1158,64,1,97.15
1159,69,1,97.15
1160,28,1,97.16
1161,106,1,97.16
1162,482,1,97.16
1163,94,1,97.16
1164,13,1,97.16
1165,246,1,97.17
1166,1580,1,97.17
1167,110,1,97.17
1168,8,1,97.17
1169,708,1,97.18
1170,222,1,97.18
1171,133,1,97.18
1172,1973,1,97.18
1173,29,1,97.19
1174,109,1,97.19
1175,194,1,97.19
1176,39,1,97.19
1177,26,1,97.20
1178,510,1,97.20
1179,142,1,97.20
1180,999,1,97.20
1181,680,1,97.21
1182,344,1,97.21
1183,82,1,97.21
1184,904,1,97.21
1185,34,1,97.22
1186,49,1,97.22
1187,55,1,97.22
1188,280,1,97.22
1189,1040,1,97.22
1190,41,1,97.23
1191,58,1,97.23
1192,140,1,97.23
1193,4145,1,97.23
1194,407,1,97.24
1195,36,1,97.24
1196,1897,1,97.24
1197,61,1,97.24
1198,33,1,97.25
1199,833,1,97.25
1200,208,1,97.25
1201,612,1,97.25
1202,230,1,97.25
1203,22,1,97.26
1204,40,1,97.26
1205,603,1,97.26
1206,5000,0,97.18
1207,243,1,97.18
1208,34,1,97.19
1209,344,1,97.19
1210,2977,1,97.19
1211,31,1,97.19
1212,617,1,97.19
1213,153,1,97.20
1214,87,1,97.20
1215,173,1,97.20
1216,953,1,97.20
1217,67,1,97.21
1218,603,1,97.21
1219,149,1,97.21
1220,24,1,97.21
1221,622,1,97.22
1222,479,1,97.22
1223,61,1,97.22
1224,31,1,97.22
1225,388,1,97.22
1226,603,1,97.23
1227,2350,1,97.23
1228,342,1,97.23
1229,35,1,97.23
1230,3801,1,97.24
1231,107,1,97.24
1232,446,1,97.24
1233,13,1,97.24
1234,5000,0,97.16
1235,83,1,97.17
1236,746,1,97.17
1237,1124,1,97.17
1238,40,1,97.17
1239,78,1,97.18
1240,189,1,97.18
1241,1247,1,97.18
1242,93,1,97.18
1243,926,1,97.18
1244,4031,1,97.19
1245,189,1,97.19
1246,224,1,97.19
1247,22,1,97.19
1248,482,1,97.20
1249,121,1,97.20
1250,460,1,97.20
1251,4,1,97.20
1252,425,1,97.20
1253,114,1,97.21
1254,3981,1,97.21
1255,23,1,97.21
1256,143,1,97.21
1257,986,1,97.22
1258,160,1,97.22
1259,83,1,97.22
1260,29,1,97.22
1261,674,1,97.22
1262,150,1,97.23
1263,858,1,97.23
1264,4,1,97.23
1265,398,1,97.23
1266,1076,1,97.24
1267,954,1,97.24
1268,1791,1,97.24
1269,41,1,97.24
1270,583,1,97.24
1271,226,1,97.25
1272,370,1,97.25
1273,118,1,97.25
1274,887,1,97.25
1275,147,1,97.25
1276,445,1,97.26
1277,25,1,97.26
1278,5000,0,97.18
1279,260,1,97.19
1280,972,1,97.19
1281,3369,1,97.19
