Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter,MeanLinearSpeed
230,0,0.131132,1.179884,1.244989
231,0,0.109301,1.141883,1.073737
232,0,0.123363,1.126429,1.346734
233,0,0.115491,1.033680,0.923496
234,0,0.130146,1.408902,1.427564
235,0,0.089710,0.848272,1.418342
236,0,0.133047,1.309183,1.347424
237,0,0.124937,1.204968,0.956760
238,0,0.146958,1.454423,1.206228
239,0,0.160157,1.468660,1.010754
240,0,0.133649,1.253395,0.942258
241,0,0.145642,1.301368,1.084173
242,0,0.125343,1.296687,1.147937
243,0,0.145322,1.341523,0.949699
244,0,0.142493,1.381087,1.312770
245,0,0.146554,1.453473,1.126543
246,0,0.116162,1.078415,1.203965
247,0,0.123079,1.244053,1.119580
248,0,0.118334,1.192407,1.083029
249,0,0.119018,1.218585,1.373704
250,0,0.124324,1.273127,1.511447
251,0,0.134052,1.202383,1.040335
252,0,0.115917,1.181977,1.249276
253,0,0.172466,1.494546,1.085582
254,0,0.110591,1.129265,1.199769
255,0,0.127678,1.193947,0.943963
256,0,0.121131,1.371255,1.317493
257,0,0.143244,1.393410,1.057470
258,0,0.111568,1.130449,1.058757
259,0,0.124324,1.187990,1.309377
260,0,0.109962,0.981846,0.893412
261,0,0.127392,1.113692,1.184934
262,0,0.148280,1.389046,1.007182
263,0,0.107587,1.138272,1.041557
264,0,0.126534,1.264276,1.216610
265,0,0.118942,1.184930,1.436936
266,0,0.109326,1.077584,0.975405
267,0,0.113437,1.193760,1.303475
268,0,0.109218,1.046571,1.248924
269,0,0.156107,1.573798,1.060292
270,0,0.120709,1.167932,1.254177
271,0,0.125179,1.318953,1.256226
272,0,0.110930,1.014562,0.964869
273,0,0.116778,1.193456,1.173898
274,0,0.144516,1.358174,1.035236
275,0,0.140771,1.357411,0.887284
276,0,0.120434,1.265042,1.275753
277,0,0.123673,1.191210,1.137968
278,0,0.152998,1.456627,1.731156
279,0,0.134746,1.223747,0.949655
280,0,0.140245,1.401240,1.214992
281,0,0.131313,1.354198,1.212603
282,0,0.146855,1.488002,1.104220
283,0,0.134030,1.266877,0.991151
284,0,0.140600,1.319660,1.591708
285,0,0.113490,1.091989,0.945032
286,0,0.132407,1.144537,1.213567
287,0,0.120779,1.163130,1.030171
288,0,0.116527,1.190059,0.905606
289,0,0.114792,1.070849,1.085826
290,0,0.125366,1.270495,1.178775
291,0,0.149693,1.425087,0.911394
292,0,0.119977,1.111298,1.219183
293,0,0.125864,1.269983,1.116044
294,0,0.132354,1.223392,1.215589
295,0,0.137830,1.337431,1.368237
296,0,0.141927,1.216447,1.141755
297,0,0.132362,1.328357,1.094886
298,0,0.130469,1.123291,1.077534
299,0,0.117117,1.148447,1.247691
300,0,0.118895,1.186913,1.104847
301,0,0.122409,1.187350,1.272252
302,0,0.112711,1.057536,1.096997
303,0,0.109791,1.102061,1.314870
304,0,0.116508,1.113301,1.121894
305,0,0.112413,1.140110,1.274119
306,0,0.113438,1.084920,0.919343
307,0,0.167435,1.522934,1.025382
308,0,0.120324,1.173080,0.953394
309,0,0.112639,1.103132,1.485538
310,0,0.117110,1.157298,0.899680
311,0,0.136244,1.313946,1.229151
312,0,0.122484,1.130710,1.041986
313,0,0.146308,1.251492,1.595164
314,0,0.166034,1.388922,1.778420
315,0,0.117677,1.177320,1.365764
316,0,0.147416,1.474875,0.992503
317,0,0.136546,1.292985,1.010623
318,0,0.128268,1.228646,1.123679
319,0,0.127818,1.212760,1.125592
320,0,0.127895,1.225286,0.896987
321,0,0.121253,1.222858,1.217391
322,0,0.138650,1.268659,1.123546
323,0,0.114493,1.153521,1.315314
324,0,0.123928,1.153175,1.171656
325,0,0.114577,1.062186,0.891744
326,0,0.099902,0.710694,1.033513
327,0,0.143575,1.415279,1.051565
328,0,0.115316,1.164609,1.256646
329,0,0.143742,1.364474,1.007161
330,0,0.111332,1.180240,1.385491
331,0,0.141225,1.406956,1.460639
332,0,0.119491,1.078360,1.140329
333,0,0.125010,1.180381,1.002653
334,0,0.123529,1.165123,1.274571
335,0,0.149710,1.487150,1.072110
336,0,0.109681,1.104190,1.024199
337,0,0.117669,1.039825,0.929797
338,0,0.128905,1.228556,1.100577
339,0,0.148749,1.437604,1.844417
340,0,0.111643,0.981968,0.915171
341,0,0.114856,1.194606,1.038949
342,0,0.133017,1.330358,1.394022
343,0,0.104644,1.012264,1.265131
344,0,0.129449,1.289949,1.398093
345,0,0.156251,1.400472,1.061808
346,0,0.104640,1.159242,1.398051
347,0,0.133136,1.219672,1.248770
348,0,0.123332,1.155550,1.202276
349,0,0.118185,1.160673,1.418320
350,0,0.112537,0.939230,0.964800
351,0,0.115030,1.218376,1.240883
352,0,0.089270,0.797833,0.975443
353,0,0.104640,0.890685,1.229039
354,0,0.148517,1.358834,0.882968
355,0,0.150299,1.388602,1.010157
356,0,0.147022,1.348858,0.979262
357,0,0.113417,1.167006,1.290242
358,0,0.134983,1.378633,1.150986
359,0,0.130217,1.218014,1.509203
360,0,0.126343,1.187871,1.112277
361,0,0.105932,0.982594,0.928001
362,0,0.136583,1.493136,1.380903
363,0,0.128029,1.198112,1.103490
364,0,0.127880,1.275719,1.105330
365,0,0.107833,0.891846,1.095922
366,0,0.142066,1.401449,1.158168
367,0,0.137047,1.016979,1.385234
368,0,0.133111,1.215089,1.304293
369,0,0.125335,1.187707,1.363422
370,0,0.119396,1.099890,0.989471
371,0,0.117455,1.064965,1.090750
372,0,0.123957,1.354188,1.354406
373,0,0.149376,1.430501,1.796418
374,0,0.131513,1.330394,1.173091
375,0,0.117187,1.243102,1.361989
376,0,0.115371,1.220490,1.237356
377,0,0.122397,1.211716,1.192831
378,0,0.140081,1.451149,1.580365
379,0,0.131069,1.357630,1.534822
380,0,0.125939,1.204023,1.025869
381,0,0.146541,1.600006,1.554568
382,0,0.114211,1.011293,0.949409
383,0,0.141017,1.269222,0.822239
384,0,0.149032,1.378384,1.134996
385,0,0.115223,1.121878,1.195225
386,0,0.101797,0.913041,0.872653
387,0,0.107002,1.025483,0.994514
388,0,0.111200,1.145770,1.151165
389,0,0.122168,1.189853,1.328034
390,0,0.111545,1.128407,1.188728
391,0,0.132905,1.292286,1.170044
392,0,0.113709,1.114781,1.248301
393,0,0.122355,1.197199,0.970927
394,0,0.110581,0.965343,1.216354
395,0,0.111455,1.085238,1.255253
396,0,0.120132,1.059427,1.176148
397,0,0.100285,0.856128,0.945227
398,0,0.127955,1.185858,1.049421
399,0,0.119918,1.181596,1.033495
400,0,0.140255,1.322210,1.018513
401,0,0.119687,1.287067,1.055647
402,0,0.120201,1.231165,1.080344
403,0,0.120144,1.259253,1.374798
404,0,0.123715,1.353840,1.345568
405,0,0.115938,1.126091,1.215826
406,0,0.131281,1.309118,1.647070
407,0,0.112615,1.114901,1.249318
408,0,0.126831,1.220469,1.020751
409,0,0.111601,1.151567,1.324217
410,0,0.149961,1.390982,1.702027
411,0,0.135320,1.262436,1.104266
412,0,0.122269,1.192467,1.367711
413,0,0.118190,1.095294,0.938619
414,0,0.121871,1.240206,1.289010
415,0,0.122953,1.196602,1.187662
416,0,0.126907,1.113145,0.849869
417,0,0.119917,0.974943,1.111824
418,0,0.129822,1.200677,0.943473
419,0,0.159788,1.514813,1.024252
420,0,0.114062,1.171143,1.282951
421,0,0.122016,1.026485,0.891197
422,0,0.122946,1.161851,1.320750
423,0,0.085663,0.660404,0.640876
424,0,0.123135,1.223100,1.434786
425,0,0.111529,1.070447,1.215719
426,0,0.128409,1.212106,1.015279
427,0,0.121948,1.159199,1.338939
428,0,0.098627,0.861094,0.936558
429,0,0.109635,0.949144,1.277342
430,0,0.123030,1.201954,1.406482
431,0,0.121374,1.190027,1.212607
432,0,0.133595,1.101277,1.149944
433,0,0.148968,1.410517,1.096084
434,0,0.141462,1.198325,1.043319
435,0,0.132716,1.252837,1.165273
436,0,0.117682,1.089222,1.426625
437,0,0.129588,1.394162,1.491707
438,0,0.118610,1.153832,1.220809
439,0,0.144368,1.448785,1.076296
440,0,0.116310,1.084215,1.004821
441,0,0.130802,1.376647,1.014831
442,0,0.133253,1.208752,0.953375
443,0,0.120501,1.161788,1.344025
444,0,0.154170,1.454932,1.005849
445,0,0.146979,1.451426,1.712222
446,0,0.131139,1.419927,1.413196
447,0,0.123206,1.257719,1.279769
448,0,0.122463,1.159494,0.792891
449,0,0.124186,1.172902,1.140883
450,0,0.123793,1.259151,1.276221
451,0,0.128642,1.235219,0.983913
452,0,0.129181,1.229828,1.122634
453,0,0.113586,1.202759,1.146511
454,0,0.111111,1.090412,1.215680
455,0,0.105850,0.961157,0.923086
456,0,0.112460,1.000550,0.887314
457,0,0.114023,1.146025,1.203258
458,0,0.136283,1.435748,1.509516
459,0,0.125782,1.055273,1.116928
460,0,0.131156,1.442419,1.421266
461,0,0.097819,0.884133,0.868433
462,0,0.131941,1.334791,1.391527
463,0,0.148230,1.444035,1.801343
464,0,0.149990,1.338667,0.847659
465,0,0.121512,1.066720,1.028519
466,0,0.116550,1.189158,0.965090
467,0,0.116617,0.982943,1.071105
468,0,0.105484,1.117088,1.335877
469,0,0.115760,0.960813,1.227193
470,0,0.119554,1.172900,1.210350
471,0,0.134114,1.384304,1.518431
472,0,0.128564,1.188363,1.038342
473,0,0.132068,1.288911,1.413873
474,0,0.132219,1.239382,1.156646
475,0,0.126305,1.283369,1.185344
476,0,0.127892,1.234557,1.194666
477,0,0.128522,1.257781,1.206597
478,0,0.106027,1.162074,1.242333
479,0,0.142538,1.277434,1.516801
480,0,0.115609,1.165842,1.347250
481,0,0.145499,1.343487,1.158520
482,0,0.131880,1.204543,1.274883
483,0,0.139347,1.280411,1.357640
484,0,0.111372,1.183108,1.147229
