Episode,Captures,EscortRate,RoleDiversityRate,AvgCarrierSurvivalTime,EpisodeLength
370,1,0.0363,1.7409,10.78,633
371,1,0.1058,1.4156,11.76,539
372,1,0.4545,1.3563,16.72,682
373,1,0.1278,1.9605,13.32,861
374,1,0.1145,1.9890,10.86,821
375,1,0.0000,1.7567,13.42,559
376,1,0.0000,1.2931,13.10,597
377,1,0.0041,1.3714,6.70,482
378,1,0.1464,1.3937,26.12,1298
379,1,0.0669,1.3095,10.46,1121
380,1,0.0000,1.3512,7.12,541
381,1,0.1478,1.9192,6.66,433
382,1,0.0000,1.7328,11.58,524
383,1,0.0031,1.7319,11.58,649
384,1,0.2034,1.7094,15.08,585
385,1,0.0000,1.9082,6.66,523
386,1,0.0000,1.4073,10.30,545
387,2,0.0000,1.7505,6.96,541
388,1,0.0000,1.7601,10.50,567
389,1,0.0000,1.6421,11.36,570
390,1,0.0000,0.7926,9.16,733
391,1,0.0000,1.9891,14.14,552
392,1,0.0000,1.2463,11.44,479
393,1,0.1096,1.9792,11.32,529
394,1,0.1516,1.6677,15.56,620
395,1,0.0420,1.3059,8.34,572
396,1,0.0000,1.6426,11.56,596
397,1,0.3728,1.6649,14.50,928
398,1,0.0688,1.6984,7.80,494
399,1,0.3133,1.3507,14.40,750
400,1,0.0000,1.6737,12.36,475
401,1,0.0000,1.6182,9.88,461
402,1,0.0000,1.7527,9.66,469
403,1,0.0509,1.6800,10.54,550
404,1,0.0000,1.0304,10.64,560
405,1,0.2450,1.7405,10.76,555
406,1,0.2841,1.5012,9.66,433
407,1,0.3810,1.6554,12.54,769
408,1,0.0000,1.7215,7.68,553
409,1,0.0322,1.9781,18.48,684
410,1,0.0000,1.6725,16.78,1093
411,1,0.0038,1.9492,10.64,531
412,1,0.0602,1.3434,14.54,565
413,1,0.0938,1.8832,7.42,565
414,1,0.2213,1.7136,9.70,583
415,1,0.1525,1.5923,13.04,623
416,1,0.0000,1.6138,12.26,523
417,1,0.0790,1.9513,14.14,595
418,1,0.0096,1.9693,11.90,521
419,1,0.1337,1.1850,10.34,546
420,1,0.0328,1.8891,16.70,640
421,1,0.0000,1.8563,11.92,522
422,1,0.0000,1.0093,7.98,539
423,1,0.0987,1.7684,10.52,557
424,1,0.2125,0.9640,12.30,833
425,1,0.1983,1.8434,6.34,479
426,1,0.0000,1.5267,12.06,562
427,1,0.2293,1.1369,9.52,833
428,1,0.0248,1.0248,9.04,524
429,1,0.1944,0.9495,8.44,535
430,1,0.1133,1.3695,11.84,609
431,1,0.4570,0.6738,11.82,941
432,1,0.0000,1.7500,13.10,552
433,1,0.3448,1.1371,10.04,525
434,1,0.1402,1.6916,9.30,535
435,1,0.0000,1.9106,13.96,649
436,1,0.4967,0.9897,20.56,1069
437,1,0.0941,1.5819,12.78,861
438,1,0.0130,1.2218,11.86,2155
439,1,0.0000,1.9365,13.60,567
440,1,0.0000,1.1912,16.74,837
441,1,0.5170,1.7955,13.08,528
442,1,0.1091,1.7708,9.98,541
443,1,0.1721,1.7152,12.46,488
444,1,0.0191,1.8684,11.64,471
445,1,0.1469,1.5451,8.16,565
446,1,0.0439,1.4354,11.76,774
447,1,0.3187,1.2147,9.52,750
448,1,0.0000,1.8953,9.80,573
449,1,0.0126,1.8504,12.40,635
450,1,0.0269,1.9802,16.64,706
451,1,0.0264,0.8314,10.52,872
452,1,0.0000,1.9688,9.18,449
453,1,0.0000,1.5772,14.02,622
454,1,0.2463,1.3920,14.38,954
455,1,0.3966,0.9419,9.88,706
456,1,0.0000,1.9348,12.10,659
457,1,0.0000,1.5127,11.30,474
458,1,0.0000,1.4561,10.58,603
459,1,0.0645,1.8118,6.82,558
460,1,0.1969,1.0591,10.08,508
461,1,0.0330,1.6858,12.96,697
462,1,0.2899,1.6431,10.74,552
463,1,0.2052,1.2976,10.98,541
464,1,0.2030,1.9594,10.22,542
465,1,0.0000,1.2102,9.76,666
466,1,0.1353,1.9488,8.70,547
467,1,0.0445,1.7389,11.58,517
468,1,0.3430,1.4987,9.30,790
469,1,0.2729,0.6237,10.16,667
470,1,0.4691,0.9575,10.88,776
471,1,0.0000,1.5902,11.70,593
472,1,0.1374,1.6466,9.24,597
473,1,0.1462,1.7555,14.40,814
474,1,0.0000,1.5378,12.68,688
475,1,0.0000,1.7165,10.14,508
476,1,0.3062,0.6339,11.94,885
477,1,0.0000,1.4670,9.98,576
478,1,0.2246,1.6753,8.94,619
479,1,0.0531,1.6490,10.04,678
480,1,0.1250,0.8026,9.10,760
481,1,0.2863,0.9351,16.40,1048
482,1,0.1141,1.9790,13.68,666
483,1,0.0000,1.3588,12.04,524
484,1,0.0000,1.9811,13.94,581
485,1,0.0696,1.5048,15.66,733
486,1,0.0182,1.5578,13.32,658
487,1,0.0957,1.5229,8.94,721
488,1,0.0000,1.8206,12.80,563
489,1,0.0600,1.5282,10.92,833
490,1,0.3274,1.4529,15.88,733
491,1,0.2165,1.4794,12.42,582
492,1,0.0071,1.3180,11.58,566
493,1,0.0000,1.4430,11.78,456
494,1,0.0000,1.2054,10.54,628
495,1,0.3556,1.8730,14.90,748
496,1,0.1000,1.7281,11.88,640
497,1,0.0000,1.2167,10.12,526
498,1,0.0000,1.0316,7.04,474
499,1,0.0000,1.5359,11.60,515
500,1,0.2639,1.6106,10.66,701
501,1,0.1227,1.8169,7.38,497
502,1,0.4196,1.5111,12.96,765
503,1,0.0000,1.3947,14.60,679
504,1,0.0000,1.9688,12.66,545
505,1,0.1228,1.5675,9.84,733
506,1,0.1145,1.6909,9.28,550
507,1,0.0000,1.7535,11.54,495
508,1,0.1623,1.3771,14.68,838
509,1,0.0000,1.9540,13.90,522
510,1,0.1256,1.2316,13.62,613
511,1,0.0000,0.8978,13.64,1194
512,1,0.3079,1.6476,8.04,471
513,1,0.0000,1.9338,14.68,604
514,1,0.0000,0.8472,10.58,563
515,1,0.0000,1.8266,10.00,646
516,1,0.2522,1.6614,13.90,892
517,1,0.1322,1.2548,16.64,1044
518,1,0.1667,1.2809,13.14,972
519,1,0.5607,1.9807,10.98,519
520,1,0.1863,1.5665,9.92,526
521,1,0.1724,1.5374,7.04,789
522,1,0.0473,1.1985,15.30,655
523,1,0.1815,1.9764,8.80,551
524,1,0.0247,1.7937,13.46,567
525,1,0.0053,1.7993,11.36,563
526,1,0.0000,1.3094,6.12,501
527,1,0.0559,1.6253,11.56,483
528,1,0.0000,1.7827,10.44,589
529,1,0.0540,1.9721,11.04,574
530,1,0.0130,1.7223,7.28,461
531,1,0.0000,1.5860,13.54,529
532,1,0.5473,1.5752,13.52,645
533,1,0.0813,1.9646,9.84,480
534,1,0.2038,1.8000,10.56,530
535,1,0.0545,1.2806,10.66,752
536,1,0.0000,1.9208,13.24,530
537,1,0.0000,1.1979,12.66,763
538,1,0.1056,1.3680,11.30,587
539,1,0.0000,1.2606,10.86,472
540,1,0.1900,1.4690,13.08,742
541,1,0.0602,1.8471,13.94,798
542,1,0.0000,1.6630,22.32,727
543,1,0.0216,1.1934,11.94,693
544,1,0.0480,1.5492,12.66,854
545,1,0.2818,1.9854,8.42,479
546,1,0.0000,1.5918,12.18,485
547,1,0.0758,1.2612,9.28,739
548,1,0.3403,1.1435,15.10,1052
549,1,0.2351,1.9801,8.12,553
550,1,0.0277,1.9428,9.92,577
551,1,0.0822,1.9628,13.04,511
552,1,0.0000,1.7264,8.06,530
553,1,0.0000,1.7955,12.90,572
554,1,0.1234,1.3344,12.56,616
555,1,0.0491,1.8257,7.96,631
556,1,0.2635,1.5248,11.96,888
557,1,0.1322,1.0931,11.78,537
558,1,0.0000,1.7602,12.98,538
559,1,0.1899,1.0931,11.86,537
560,1,0.1224,1.8200,17.62,711
561,1,0.1817,1.9670,10.28,545
562,1,0.0394,1.6691,13.88,559
563,1,0.1103,1.5648,9.18,517
564,1,0.2512,1.4847,13.84,621
565,1,0.0379,1.9621,10.98,448
566,1,0.0000,1.9760,8.76,500
567,1,0.0000,1.9688,7.48,512
568,1,0.2364,1.4992,10.38,643
569,2,0.0000,1.8912,7.58,588
570,1,0.0072,1.6968,12.52,554
571,1,0.0000,1.8254,12.32,481
572,1,0.1098,1.4525,12.34,610
573,1,0.0000,1.5801,9.50,662
574,1,0.0000,1.7151,13.36,544
575,1,0.0373,1.5754,13.82,1234
576,1,0.0000,1.9792,13.38,529
577,1,0.1426,1.2561,10.70,617
578,1,0.0000,1.9376,10.00,449
579,1,0.0998,1.9765,10.30,511
580,1,0.0164,1.7138,10.56,608
581,1,0.0000,1.8198,12.98,616
582,1,0.0000,1.8238,14.18,522
583,1,0.0984,1.7402,16.20,793
584,1,0.0000,1.9793,9.28,483
585,1,0.0758,1.3811,12.06,475
586,1,0.2413,1.4957,16.66,692
587,1,0.0000,1.9431,5.26,439
588,1,0.0195,1.7331,14.54,667
589,1,0.1654,1.7665,8.98,544
590,1,0.0994,1.2352,8.50,523
591,1,0.0000,1.9803,12.42,508
592,1,0.1919,1.5904,8.44,542
593,1,0.0000,1.7013,7.98,462
594,1,0.0000,1.9148,8.80,446
595,1,0.0000,1.9797,13.36,541
596,1,0.1877,1.0505,9.70,554
597,1,0.0000,1.9226,11.96,517
598,1,0.0012,1.7447,11.86,842
599,1,0.0000,1.7576,10.68,623
600,1,0.0851,1.8581,18.32,1022
601,1,0.0000,1.6900,10.36,529
602,1,0.0000,1.7898,12.26,528
603,1,0.0000,1.8612,10.18,497
604,1,0.1024,1.6500,17.00,840
605,1,0.0501,1.9772,5.16,439
606,1,0.0258,1.8333,12.54,504
607,1,0.0000,1.5028,6.14,535
608,1,0.1895,1.5975,13.42,554
609,1,0.3201,1.3968,15.20,756
610,1,0.0000,1.6145,11.16,511
611,1,0.0000,1.6418,10.60,522
612,1,0.2366,1.8112,15.76,1086
613,1,0.0000,1.8126,17.18,731
614,1,0.0000,1.6289,13.88,671
615,1,0.0000,1.6570,13.82,551
616,1,0.0603,1.4828,10.38,464
617,1,0.0692,1.6101,11.44,477
618,1,0.0887,1.9223,14.74,631
619,1,0.0683,1.2362,9.36,542
620,1,0.6332,0.8482,30.96,1693
621,1,0.1351,1.4651,12.88,918
622,1,0.1333,1.8738,9.58,705
623,1,0.0000,1.9167,8.96,648
624,1,0.0000,1.7500,9.04,580
625,1,0.0800,1.2954,9.46,1337
626,1,0.0092,1.7234,9.40,546
627,1,0.0000,1.1978,7.80,450
628,1,0.1070,1.5211,13.02,570
629,1,0.4277,1.6125,10.00,498
630,1,0.2277,0.8885,13.66,628
631,1,0.0800,1.1008,16.38,625
632,1,0.2504,1.1302,13.68,599
633,1,0.0000,1.8257,12.50,522
634,1,0.3890,1.9791,12.50,527
635,1,0.2080,1.9084,10.30,524
636,1,0.0457,1.9831,13.14,591
637,1,0.0200,1.5055,6.96,451
638,1,0.1011,1.1742,15.56,752
639,1,0.0000,1.3846,10.08,624
640,1,0.1763,1.8750,12.02,624
641,1,0.0000,1.9602,12.66,503
642,1,0.1250,1.5475,10.64,568
643,1,0.0000,1.6298,13.48,551
644,1,0.0000,1.6401,11.10,464
645,1,0.3646,1.7445,12.84,587
646,1,0.0000,1.8085,11.18,517
647,1,0.0824,1.3388,13.78,850
648,1,0.0000,1.5639,11.70,642
649,1,0.1830,1.9700,17.28,1033
650,1,0.0000,1.7203,11.86,479
651,1,0.3485,1.8148,11.78,594
652,1,0.1529,1.8169,9.32,628
653,1,0.1942,1.9664,16.18,654
654,1,0.1673,1.6949,13.42,508
655,1,0.1917,1.4063,13.34,699
656,1,0.0000,1.6769,11.40,650
657,1,0.1818,1.9483,16.58,638
