Episode,Captures,EscortRate,RoleDiversityRate,AvgCarrierSurvivalTime,EpisodeLength
327,1,0.0117,1.6673,12.22,511
328,1,0.0000,1.6944,11.66,625
329,1,0.0381,1.4495,8.54,525
330,1,0.0000,1.3377,14.30,690
331,1,0.0000,1.7500,12.18,644
332,1,0.0000,1.3078,24.06,1303
333,1,0.0000,1.6977,9.62,665
334,1,0.0000,1.1656,8.24,634
335,1,0.1806,1.0936,10.52,598
336,1,0.1510,1.9363,11.02,722
337,1,0.0263,1.6650,11.64,609
338,1,0.9243,1.2705,30.66,1401
339,1,0.0000,1.7575,8.50,532
340,1,0.0878,1.5075,8.88,729
341,1,0.0671,1.2252,16.08,1714
342,1,0.1529,1.8078,10.30,510
343,1,0.2179,1.5203,9.82,592
344,1,0.0000,1.7030,10.68,468
345,1,0.1410,1.0590,9.22,610
346,1,0.2952,1.3795,9.74,498
347,1,0.0000,1.8300,10.02,594
348,1,0.0000,1.6497,8.44,551
349,1,0.0336,1.7699,18.64,1043
350,1,0.0481,1.3457,10.62,541
351,1,0.0310,1.5182,12.14,548
352,1,0.4578,1.9859,10.78,782
353,1,0.0189,1.3755,7.22,530
354,1,0.0467,1.6711,6.00,450
355,1,0.0000,1.0347,10.48,518
356,1,0.1120,1.4492,14.32,768
357,1,0.0483,1.0280,13.82,786
358,1,0.2844,1.7709,12.90,633
359,1,0.4697,1.1847,16.92,628
360,1,0.1380,1.8470,11.54,732
361,1,0.0747,1.4873,11.58,589
362,1,0.0000,1.7131,10.84,467
363,1,0.0000,1.4912,9.04,570
364,1,0.0710,1.5855,9.10,620
365,1,0.0000,1.5882,10.46,510
366,1,0.1487,1.9805,14.18,565
367,1,0.1302,1.2224,6.92,553
368,1,0.0253,1.3693,9.66,593
369,1,0.0504,1.1115,11.54,556
370,1,0.0310,1.5128,11.04,743
371,1,0.2313,1.7351,10.84,536
372,1,0.0000,1.7965,11.40,575
373,1,0.1304,1.2808,14.56,552
374,1,0.0000,1.2849,8.78,523
375,1,0.0000,1.8378,11.34,481
376,1,0.0000,1.3861,11.50,606
377,1,0.0000,1.9723,9.90,542
378,1,0.1479,1.9464,8.44,541
379,1,0.2008,1.9850,11.22,533
380,1,0.0000,1.6570,10.02,481
381,1,0.0000,1.8630,13.32,584
382,1,0.1305,1.0400,10.70,1824
383,1,0.0000,1.6927,7.00,423
384,1,0.0000,1.5618,10.02,445
385,1,0.2143,1.7280,17.10,658
386,1,0.0223,1.7018,12.20,493
387,1,0.0000,1.8083,11.70,553
388,1,0.5313,1.4722,51.00,2588
389,1,0.4162,1.0365,13.72,877
390,1,0.0000,1.2999,15.48,727
391,1,0.1721,1.6424,12.66,674
392,1,0.0000,1.3911,9.58,542
393,1,0.0658,1.7596,9.64,441
394,1,0.3096,1.6245,13.32,759
395,1,0.1226,1.2241,9.46,473
396,1,0.0000,1.9622,9.60,503
397,1,0.3850,1.7016,13.78,935
398,1,0.0000,0.9257,6.06,525
399,1,0.1692,1.7203,11.66,597
400,1,0.1835,1.0594,12.60,741
401,1,0.1333,1.3447,9.60,615
402,1,0.1987,1.8381,10.84,624
403,1,0.0552,1.1876,8.26,453
404,1,0.0000,1.8575,10.58,463
405,1,0.4826,1.5396,12.18,719
406,1,0.0000,1.4735,14.40,811
407,1,0.0000,1.8367,10.76,594
408,1,0.0984,1.8844,12.02,640
409,1,0.0000,1.9723,7.48,470
410,1,0.0000,1.5363,13.56,578
411,1,0.0000,1.6888,11.58,588
412,1,0.1305,1.6644,10.90,590
413,1,0.1743,1.6162,12.00,482
414,1,0.2056,1.4019,14.04,642
415,1,0.0574,1.8470,12.70,523
416,1,0.0000,1.9117,9.64,555
417,1,0.0957,1.8431,12.14,752
418,1,0.0000,1.2194,9.28,474
419,1,0.1573,1.4161,14.76,572
420,1,0.0495,1.7087,11.08,666
421,1,0.0000,1.6258,11.56,481
422,1,0.2102,1.8203,12.04,590
423,1,0.1512,0.9324,10.90,562
424,1,0.4327,1.8333,13.32,654
425,1,0.1991,1.3871,13.40,899
426,1,0.0989,1.4253,6.64,435
427,1,0.0827,1.4785,10.36,629
428,1,0.0000,1.5564,13.22,523
429,1,0.1690,1.0257,13.90,935
430,1,0.0000,1.7143,9.48,476
431,1,0.0696,1.9048,15.30,704
432,1,0.1289,1.5560,12.54,768
433,1,0.1555,1.3110,10.46,611
434,1,0.2593,1.9746,8.68,590
435,1,0.3861,1.7257,10.46,474
436,1,0.4078,1.7813,15.36,640
437,1,0.0122,1.7880,10.94,986
438,1,0.1630,1.4974,10.40,583
439,1,0.0000,1.5666,15.02,773
440,1,0.1702,1.7454,10.36,699
441,1,0.0000,1.3979,9.56,563
442,1,0.0285,1.3855,12.04,773
443,1,0.0604,0.8129,8.82,513
444,1,0.0997,1.6078,16.88,612
445,1,0.1109,1.2161,17.06,1217
446,1,0.0000,1.3782,12.66,513
447,1,0.0475,1.9571,8.76,653
448,1,0.0746,1.0619,12.18,630
449,1,0.0051,1.2457,8.98,586
450,1,0.2182,1.8241,12.72,614
451,1,0.2854,1.4850,10.26,501
452,1,0.0000,1.6884,13.64,629
453,1,0.0000,1.8984,10.76,699
454,1,0.0752,1.3862,7.46,492
455,1,0.0000,1.1555,10.44,553
456,1,0.2133,1.9378,10.28,450
457,1,0.2224,1.7662,10.74,526
458,1,0.3184,1.4993,12.50,757
459,1,0.1650,1.6640,9.66,497
