Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter
307,0,0.5463775,5.371629
308,0,0.5170268,5.322175
309,0,0.5562248,5.789869
310,0,0.4833617,4.896718
311,0,0.5131624,5.044566
312,0,0.5357201,4.875724
313,0,0.5898471,5.810956
314,0,0,10.73195
315,0,0.5709834,5.863341
316,0,0.519621,4.680193
317,0,0,15.19565
318,0,0.5067465,4.907291
319,0,0.5115296,5.348988
320,0,0.5090407,5.369817
321,0,0.5416619,5.554821
322,0,0.6028156,5.61505
323,0,0.5179651,5.407692
324,0,0.5400755,5.431516
325,0,0.5181834,5.278601
326,0,0.520239,5.241819
327,0,0.539012,5.329722
328,0,0.5249173,5.069789
329,0,0.5197823,5.377206
330,0,0.5488006,5.911503
331,0,0.6056578,5.314765
332,0,0.564847,6.083253
333,0,0.5371072,5.290888
334,0,0.5129104,4.676359
335,0,0.5789892,5.865345
336,0,0.5467439,5.719672
337,0,0.5170727,5.217959
338,0,0,10.53452
339,0,0.5319984,5.042636
340,0,0.5159281,4.689627
341,0,0.5281334,5.215031
342,0,0,7.891847
343,0,0.5173686,5.461373
344,0,0.4963985,4.475065
345,0,0.6062326,6.071944
346,0,0.5109325,4.943207
347,0,0.5863998,5.494411
348,0,0.4935107,4.566058
349,0,0.5126308,5.569375
350,0,0.6046963,6.321916
351,0,0.5385438,5.160417
352,0,0.593914,6.119431
353,0,0.5383761,5.46035
354,0,0.5371588,5.20721
355,0,0.5018827,5.079996
356,0,0.4761597,4.669613
357,0,0.5383127,5.245615
358,0,0.5974869,5.846253
359,0,0.5237259,5.379537
360,0,0.506583,4.686062
361,0,0.515734,4.756487
362,0,0.5000598,4.923483
363,0,0,3.562123
364,0,0.4423499,3.671
365,0,0.5884961,6.337531
366,0,0.5941687,5.942233
367,0,0.5316062,5.772712
368,0,0,17.57458
369,0,0.5576889,5.619408
370,0,0.5657754,5.816689
371,0,0.5621362,6.014184
372,0,0.535977,5.324114
373,0,0.5323326,5.317523
374,0,0.5125008,4.808464
