Step,Action0_deg,Action1_deg,Action2_deg,Action3_deg,Action4_deg,Action5_deg
202,-54.3643,55.0585,-12.5085,-57.0147,3.2155,44.5428
203,-54.3643,55.0585,-12.5085,-57.0147,3.2155,44.5428
204,-54.3643,55.0585,-12.5085,-57.0147,3.2155,44.5428
205,-54.3643,55.0585,-12.5085,-57.0147,3.2155,44.5428
206,-42.7709,-55.1653,-1.6621,-18.4186,37.8445,-5.1336
207,-42.7709,-55.1653,-1.6621,-18.4186,37.8445,-5.1336
208,-42.7709,-55.1653,-1.6621,-18.4186,37.8445,-5.1336
209,-42.7709,-55.1653,-1.6621,-18.4186,37.8445,-5.1336
210,-42.7709,-55.1653,-1.6621,-18.4186,37.8445,-5.1336
211,-56.9036,56.3203,-11.8983,-7.3834,31.0986,29.9201
212,-56.9036,56.3203,-11.8983,-7.3834,31.0986,29.9201
213,-56.9036,56.3203,-11.8983,-7.3834,31.0986,29.9201
214,-56.9036,56.3203,-11.8983,-7.3834,31.0986,29.9201
215,-56.9036,56.3203,-11.8983,-7.3834,31.0986,29.9201
216,-51.2861,-49.2718,22.7049,-58.5219,25.5250,48.3796
217,-51.2861,-49.2718,22.7049,-58.5219,25.5250,48.3796
218,-51.2861,-49.2718,22.7049,-58.5219,25.5250,48.3796
219,-51.2861,-49.2718,22.7049,-58.5219,25.5250,48.3796
220,-51.2861,-49.2718,22.7049,-58.5219,25.5250,48.3796
221,-32.6008,-9.8370,-45.0827,54.1222,1.7695,10.0472
222,-32.6008,-9.8370,-45.0827,54.1222,1.7695,10.0472
223,-32.6008,-9.8370,-45.0827,54.1222,1.7695,10.0472
224,-32.6008,-9.8370,-45.0827,54.1222,1.7695,10.0472
225,-32.6008,-9.8370,-45.0827,54.1222,1.7695,10.0472
226,-35.6015,16.6100,28.0765,-59.0281,-17.4983,44.7624
227,-35.6015,16.6100,28.0765,-59.0281,-17.4983,44.7624
228,-35.6015,16.6100,28.0765,-59.0281,-17.4983,44.7624
229,-35.6015,16.6100,28.0765,-59.0281,-17.4983,44.7624
230,-35.6015,16.6100,28.0765,-59.0281,-17.4983,44.7624
231,12.9324,-59.8366,21.8142,59.2373,-33.6084,41.5787
232,12.9324,-59.8366,21.8142,59.2373,-33.6084,41.5787
233,12.9324,-59.8366,21.8142,59.2373,-33.6084,41.5787
234,12.9324,-59.8366,21.8142,59.2373,-33.6084,41.5787
235,12.9324,-59.8366,21.8142,59.2373,-33.6084,41.5787
236,-36.0791,45.0729,-54.3152,36.4868,-49.1444,56.3313
237,-36.0791,45.0729,-54.3152,36.4868,-49.1444,56.3313
238,-36.0791,45.0729,-54.3152,36.4868,-49.1444,56.3313
239,-36.0791,45.0729,-54.3152,36.4868,-49.1444,56.3313
240,-36.0791,45.0729,-54.3152,36.4868,-49.1444,56.3313
241,29.5879,-2.1188,50.9543,-59.1213,-49.5763,51.9617
242,29.5879,-2.1188,50.9543,-59.1213,-49.5763,51.9617
243,29.5879,-2.1188,50.9543,-59.1213,-49.5763,51.9617
244,29.5879,-2.1188,50.9543,-59.1213,-49.5763,51.9617
245,29.5879,-2.1188,50.9543,-59.1213,-49.5763,51.9617
246,55.7103,-55.5293,40.2553,58.0088,-59.2775,43.0000
247,55.7103,-55.5293,40.2553,58.0088,-59.2775,43.0000
248,55.7103,-55.5293,40.2553,58.0088,-59.2775,43.0000
249,55.7103,-55.5293,40.2553,58.0088,-59.2775,43.0000
250,55.7103,-55.5293,40.2553,58.0088,-59.2775,43.0000
251,56.2421,-21.2949,45.1807,59.1455,-55.5106,-38.2181
252,56.2421,-21.2949,45.1807,59.1455,-55.5106,-38.2181
253,56.2421,-21.2949,45.1807,59.1455,-55.5106,-38.2181
254,56.2421,-21.2949,45.1807,59.1455,-55.5106,-38.2181
255,56.2421,-21.2949,45.1807,59.1455,-55.5106,-38.2181
256,34.8512,48.9822,34.8449,58.9895,-57.7784,39.5228
257,34.8512,48.9822,34.8449,58.9895,-57.7784,39.5228
258,34.8512,48.9822,34.8449,58.9895,-57.7784,39.5228
259,34.8512,48.9822,34.8449,58.9895,-57.7784,39.5228
260,34.8512,48.9822,34.8449,58.9895,-57.7784,39.5228
261,58.8327,-51.9138,56.7240,55.7918,-58.3185,-44.8606
262,58.8327,-51.9138,56.7240,55.7918,-58.3185,-44.8606
263,58.8327,-51.9138,56.7240,55.7918,-58.3185,-44.8606
264,58.8327,-51.9138,56.7240,55.7918,-58.3185,-44.8606
265,58.8327,-51.9138,56.7240,55.7918,-58.3185,-44.8606
266,14.6529,-46.3160,34.8600,55.3425,-50.2617,32.4178
267,14.6529,-46.3160,34.8600,55.3425,-50.2617,32.4178
268,14.6529,-46.3160,34.8600,55.3425,-50.2617,32.4178
269,14.6529,-46.3160,34.8600,55.3425,-50.2617,32.4178
270,14.6529,-46.3160,34.8600,55.3425,-50.2617,32.4178
271,53.4638,-58.9659,58.8290,3.1757,-59.3675,13.7121
272,53.4638,-58.9659,58.8290,3.1757,-59.3675,13.7121
273,53.4638,-58.9659,58.8290,3.1757,-59.3675,13.7121
274,53.4638,-58.9659,58.8290,3.1757,-59.3675,13.7121
275,53.4638,-58.9659,58.8290,3.1757,-59.3675,13.7121
276,23.2369,-45.8822,15.5380,39.0946,-59.1808,55.6673
277,23.2369,-45.8822,15.5380,39.0946,-59.1808,55.6673
278,23.2369,-45.8822,15.5380,39.0946,-59.1808,55.6673
