Step,Action0_deg,Action1_deg,Action2_deg,Action3_deg,Action4_deg,Action5_deg
151,22.2583,-60.0000,17.6269,-11.4048,-40.6117,-24.9264
152,22.2583,-60.0000,17.6269,-11.4048,-40.6117,-24.9264
153,22.2583,-60.0000,17.6269,-11.4048,-40.6117,-24.9264
154,22.2583,-60.0000,17.6269,-11.4048,-40.6117,-24.9264
155,22.2583,-60.0000,17.6269,-11.4048,-40.6117,-24.9264
156,1.3958,-60.0000,15.4817,-60.0000,-3.0789,54.5010
157,1.3958,-60.0000,15.4817,-60.0000,-3.0789,54.5010
158,1.3958,-60.0000,15.4817,-60.0000,-3.0789,54.5010
159,1.3958,-60.0000,15.4817,-60.0000,-3.0789,54.5010
160,1.3958,-60.0000,15.4817,-60.0000,-3.0789,54.5010
161,22.7592,-6.3385,38.3232,-11.4655,-31.7847,50.7363
162,22.7592,-6.3385,38.3232,-11.4655,-31.7847,50.7363
163,22.7592,-6.3385,38.3232,-11.4655,-31.7847,50.7363
164,22.7592,-6.3385,38.3232,-11.4655,-31.7847,50.7363
165,22.7592,-6.3385,38.3232,-11.4655,-31.7847,50.7363
166,8.7873,-5.5977,21.1771,-2.4795,-20.2312,-40.8644
167,8.7873,-5.5977,21.1771,-2.4795,-20.2312,-40.8644
168,8.7873,-5.5977,21.1771,-2.4795,-20.2312,-40.8644
169,8.7873,-5.5977,21.1771,-2.4795,-20.2312,-40.8644
170,8.7873,-5.5977,21.1771,-2.4795,-20.2312,-40.8644
171,8.6158,-19.8630,29.4619,9.5557,-31.3275,-60.0000
172,8.6158,-19.8630,29.4619,9.5557,-31.3275,-60.0000
173,8.6158,-19.8630,29.4619,9.5557,-31.3275,-60.0000
174,8.6158,-19.8630,29.4619,9.5557,-31.3275,-60.0000
175,8.6158,-19.8630,29.4619,9.5557,-31.3275,-60.0000
176,7.9515,-30.6953,60.0000,10.3528,-1.5789,-58.7754
177,7.9515,-30.6953,60.0000,10.3528,-1.5789,-58.7754
178,7.9515,-30.6953,60.0000,10.3528,-1.5789,-58.7754
179,7.9515,-30.6953,60.0000,10.3528,-1.5789,-58.7754
180,7.9515,-30.6953,60.0000,10.3528,-1.5789,-58.7754
